Read_ID,Position,Intensity_A,Intensity_T,Intensity_G,Intensity_C
SRR32125611.1,1,0.07219279529432521,0.20663155489833956,0.17898579645541593,0.5421898533519194
SRR32125611.1,2,0.15723565620064311,0.09557421138343021,0.10277494546712723,0.6444151869487994
SRR32125611.1,3,0.13223618232730133,0.5298716759305607,0.20554687067202043,0.13234527107011748
SRR32125611.1,4,0.21066809706976777,0.1957516896608327,0.378637379584255,0.21494283368514464
SRR32125611.1,5,0.2494594624382068,0.5139319034279366,0.08121311634917958,0.15539551778467695
SRR32125611.1,6,0.40615778284779097,0.16829633621540216,0.1713983199610315,0.25414756097577534
SRR32125611.1,7,0.09456448187198506,0.5500222704907357,0.24471181438630402,0.1107014332509751
SRR32125611.1,8,0.27727666721953936,0.08689710028305354,0.18831505864646575,0.44751117385094136
SRR32125611.1,9,0.20788243822628047,0.21710012397717562,0.14666808696977332,0.4283493508267706
SRR32125611.1,10,0.13635240633276918,0.48560555979360925,0.14641310489499224,0.23162892897862936
SRR32125611.1,11,0.2912333019774647,0.13655170945324227,0.48842053184318535,0.08379445672610761
SRR32125611.1,12,0.2785486450853971,0.4418582428629051,0.08881933029066921,0.19077378176102858
SRR32125611.1,13,0.11493234004872126,0.49191073859736056,0.25691429897809975,0.1362426223758184
SRR32125611.1,14,0.2044490800954304,0.16726909629456396,0.17996728497888093,0.44831453863112464
SRR32125611.1,15,0.24847680213353043,0.16031765940609657,0.12166938241875956,0.4695361560416135
SRR32125611.1,16,0.22533527124240632,0.5632267035888208,0.12424190427913594,0.087196120889637
SRR32125611.1,17,0.06693850970445082,0.1135232629587266,0.5177305900868169,0.30180763725000576
SRR32125611.1,18,0.06916317676401917,0.43792291352569024,0.2155133220408742,0.2774005876694164
SRR32125611.1,19,0.2438290170160031,0.5113162400523761,0.12233832331949898,0.12251641961212187
SRR32125611.1,20,0.12689034995676193,0.16211245803151383,0.11283289427523754,0.5981642977364867
SRR32125611.1,21,0.15945417563924869,0.15318194293641754,0.2394338982897698,0.44792998313456395
SRR32125611.1,22,0.48732605155933434,0.16839248386154984,0.16449128036618144,0.17979018421293444
SRR32125611.1,23,0.09329916516948414,0.49425139898741954,0.1642257284695993,0.24822370737349705
SRR32125611.1,24,0.0872266952454918,0.28831741595413996,0.5328468390554233,0.09160904974494492
SRR32125611.1,25,0.18479532411528682,0.12144394104335046,0.49595111600351716,0.1978096188378456
SRR32125611.1,26,0.14440325826213216,0.23322961001988962,0.23589624746868595,0.3864708842492924
SRR32125611.1,27,0.20502703970383834,0.479339046055934,0.09512170790529911,0.22051220633492843
SRR32125611.1,28,0.18059266189862955,0.22475230663800327,0.4901249412276095,0.10453009023575767
SRR32125611.1,29,0.152563177742162,0.42896167078533537,0.14894465187716785,0.26953049959533476
SRR32125611.1,30,0.4816920439346209,0.1794215782076332,0.18700413956873074,0.15188223828901523
SRR32125611.1,31,0.06122319615395137,0.47566422401576414,0.2743682259333284,0.18874435389695607
SRR32125611.1,32,0.23388959819910818,0.24541982337995635,0.4426611474472875,0.07802943097364792
SRR32125611.1,33,0.18858524079380654,0.17700044864279177,0.5739102578848994,0.060504052678502326
